"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40469","Verify Bookmark : ""Practice Level Configuration"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:28:34 GMT+05:30 2025","passed","Mon Oct 13 08:29:14 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Practice Level Configuration","Dashboard.spec.js","",""
"","39878","Verify Bookmark : ""Care Plan Review"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:16:34 GMT+05:30 2025","passed","Mon Oct 13 08:17:14 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Care Plan Review","Dashboard.spec.js","",""
"","39871","Verify Bookmark : ""Encounter List"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:20:06 GMT+05:30 2025","passed","Mon Oct 13 08:20:46 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Encounter List","Dashboard.spec.js","",""
"","40215","Verify Bookmark : ""Alert Tracker"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:13:03 GMT+05:30 2025","passed","Mon Oct 13 08:13:43 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Alert Tracker","Dashboard.spec.js","",""
"","40015","Verify Bookmark : ""Survey Forms"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:35:43 GMT+05:30 2025","passed","Mon Oct 13 08:36:23 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Survey Forms","Dashboard.spec.js","",""
"","40014","Verify Bookmark : ""Waitlist"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:37:53 GMT+05:30 2025","passed","Mon Oct 13 08:38:33 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Waitlist","Dashboard.spec.js","",""
"","41076","Verify Bookmark : ""Predictive Decisioning"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:29:18 GMT+05:30 2025","passed","Mon Oct 13 08:29:59 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Predictive Decisioning","Dashboard.spec.js","",""
"","40152","Verify Bookmark : ""To Do"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:36:26 GMT+05:30 2025","passed","Mon Oct 13 08:37:06 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : To Do","Dashboard.spec.js","",""
"","39814","Verify Bookmark : ""Document Manager"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:06:42 GMT+05:30 2025","passed","Mon Oct 13 08:07:21 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Document Manager","Dashboard.spec.js","",""
"","32419","Verify eOrder visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 07:59:35 GMT+05:30 2025","passed","Mon Oct 13 08:00:07 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : eOrder","Dashboard.spec.js","",""
"","40243","Verify Bookmark : ""Add Patient"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:11:38 GMT+05:30 2025","passed","Mon Oct 13 08:12:18 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Add Patient","Dashboard.spec.js","",""
"","40769","Verify Bookmark : ""Assessment Tools"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:14:28 GMT+05:30 2025","passed","Mon Oct 13 08:15:09 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Assessment Tools","Dashboard.spec.js","",""
"","40451","Verify Bookmark : ""Patient Search"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:09:31 GMT+05:30 2025","passed","Mon Oct 13 08:10:11 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Patient Search","Dashboard.spec.js","",""
"","39607","Verify Bookmark : ""Co-Sign List"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:18:40 GMT+05:30 2025","passed","Mon Oct 13 08:19:20 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Co-Sign List","Dashboard.spec.js","",""
"","36762","Verify Care Plan Review visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:02:43 GMT+05:30 2025","passed","Mon Oct 13 08:03:20 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Widgets : Care Plan Review","Dashboard.spec.js","",""
"","39914","Verify Bookmark : ""Patient Forms"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:27:09 GMT+05:30 2025","passed","Mon Oct 13 08:27:48 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Patient Forms","Dashboard.spec.js","",""
"","29782","Perform Login and save storageState","Login","Mon Oct 13 07:56:10 GMT+05:30 2025","passed","Mon Oct 13 07:56:40 GMT+05:30 2025","Verify Login Process","Login.spec.js","",""
"","40524","Verify Bookmark : ""eMAR"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:19:23 GMT+05:30 2025","passed","Mon Oct 13 08:20:03 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : eMAR","Dashboard.spec.js","",""
"","32133","Verify Co-Sign visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 07:56:46 GMT+05:30 2025","passed","Mon Oct 13 07:57:18 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : Co-Sign","Dashboard.spec.js","",""
"","40436","Verify Bookmark : ""Payments"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:10:13 GMT+05:30 2025","passed","Mon Oct 13 08:10:53 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Payments","Dashboard.spec.js","",""
"","39650","Verify Bookmark : ""Claims"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:06:00 GMT+05:30 2025","passed","Mon Oct 13 08:06:40 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Claims","Dashboard.spec.js","",""
"","39595","Verify Bookmark : ""Encounter Note"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:20:48 GMT+05:30 2025","passed","Mon Oct 13 08:21:27 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Encounter Note","Dashboard.spec.js","",""
"","32580","Verify IMR visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 07:58:26 GMT+05:30 2025","passed","Mon Oct 13 07:58:59 GMT+05:30 2025","Verify Dashboard Functionality > Verify Dashboard Shortcut : IMR","Dashboard.spec.js","",""
"","40639","Verify Bookmark : ""Appointment Request"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:13:46 GMT+05:30 2025","passed","Mon Oct 13 08:14:26 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Appointment Request","Dashboard.spec.js","",""
"","39835","Verify Bookmark : ""Sticky Note Configuration"" visibility on Dashboard based on Configuration ON/OFF","Dashboard","Mon Oct 13 08:35:00 GMT+05:30 2025","passed","Mon Oct 13 08:35:40 GMT+05:30 2025","Verify Dashboard Functionality > Verify Bookmark on Dashboard : Sticky Note Configuration","Dashboard.spec.js","",""
"","1423","Verify LoggedIn Facility","Dashboard","Mon Oct 13 07:56:44 GMT+05:30 2025","passed","Mon Oct 13 07:56:45 GMT+05:30 2025","Verify Dashboard Functionality","Dashboard.spec.js","",""
